dam,reach,year,breached,breach_date,dist_lake,damX,damY,backwaterX,backwaterY,backwaterlngth,p_pass
2013-1,Elk Lake Road to Battle Creek,2013,Yes,NA,4948,446551,4940923,446634,4940849,211.6,0.9994127
2013-2,Elk Lake Road to Battle Creek,2013,Yes,NA,5162,446641,4940846,446785,4940828,302.7,0.9926057
2013-3,Elk Lake Road to Battle Creek,2013,No,NA,5466,446785,4940827,446827,4940739,286.3,0.9974568
2013-4,Elk Lake Road to Battle Creek,2013,No,NA,5755,446829,4940743,446924,4940833,205.9,0.9986512
2013-5,Elk Lake Road to Battle Creek,2013,No,NA,5960,446925,4940832,447060,4940725,431.9,0.9986106
2013-6,Antelope Creek to Elk Lake Road,2013,No,NA,13336,449774,4940533,449799,4940525,26,0.7060248
2013-7,Antelope Creek to Elk Lake Road,2013,No,NA,13361,449798,4940514,449819,4940522,21,0.9978161
2013-8,Antelope Creek to Elk Lake Road,2013,No,NA,13384,449819,4940519,449983,4940439,431.9,0.9919401
2013-9,Antelope Creek to Elk Lake Road,2013,No,NA,15954,450944,4940242,450954,4940226,19,0.9832065
2013-10,Antelope Creek to Elk Lake Road,2013,No,NA,15976,450953,4940224,451159,4940090,431.9,0.880175
2014-1,Elk Lake Road to Battle Creek,2014,Yes,NA,4948,446551,4940923,446634,4940849,211.6,0.9994127
2014-2,Elk Lake Road to Battle Creek,2014,Yes,NA,5162,446641,4940846,446785,4940828,302.7,0.9926057
2014-3,Elk Lake Road to Battle Creek,2014,No,NA,5466,446785,4940827,446827,4940739,286.3,0.9974568
2014-4,Elk Lake Road to Battle Creek,2014,No,NA,5755,446829,4940743,446924,4940833,205.9,0.9986512
2014-5,Elk Lake Road to Battle Creek,2014,No,NA,5960,446925,4940832,447060,4940725,431.9,0.9986106
2014-6,Antelope Creek to Elk Lake Road,2014,No,NA,13336,449774,4940533,449799,4940525,26,0.7060248
2014-7,Antelope Creek to Elk Lake Road,2014,No,NA,13361,449798,4940514,449819,4940522,21,0.9978161
2014-8,Antelope Creek to Elk Lake Road,2014,No,NA,13384,449819,4940519,449983,4940439,431.9,0.9919401
2014-9,Antelope Creek to Elk Lake Road,2014,No,NA,15954,450944,4940242,450954,4940226,19,0.9832065
2014-10,Antelope Creek to Elk Lake Road,2014,No,NA,15976,450953,4940224,451159,4940090,431.9,0.880175
2015-1,Downstream of Battle Creek,2015,Yes,5/7/2015,678,444929,4940041,445233,4940098,431.9,0.992615
2015-2,Elk Lake Road to Battle Creek,2015,Yes,5/7/2015,5162,446639,4940849,446785,4940828,302.7,0.9851605
2015-3,Elk Lake Road to Battle Creek,2015,No,NA,5466,446788,4940824,446827,4940738,287,0.9951735
2015-4,Elk Lake Road to Battle Creek,2015,No,NA,5755,446833,4940739,446924,4940833,205.9,0.9606764
2015-5,Elk Lake Road to Battle Creek,2015,No,NA,5960,446927,4940837,447082,4940808,286,0.9929105
2015-6,Elk Lake Road to Battle Creek,2015,Yes,4/29/205,6246,447082,4940811,447100,4940778,74.3,0.9973984
2015-7,Antelope Creek to Elk Lake Road,2015,No,NA,13236,449708,4940477,449773,4940529,98.4,0.8198889
2015-8,Antelope Creek to Elk Lake Road,2015,No,NA,13336,449774,4940525,449799,4940525,26,0.4436786
2015-9,Antelope Creek to Elk Lake Road,2015,Yes,5/2/2015,13361,449797,4940519,449819,4940522,21,0.9976161
2015-10,Antelope Creek to Elk Lake Road,2015,No,NA,13384,449821,4940515,449983,4940439,431.9,0.5692492
2015-11,Antelope Creek to Elk Lake Road,2015,No,NA,15954,450938,4940235,450959,4940222,26,0.796
2015-12,Antelope Creek to Elk Lake Road,2015,No,NA,15976,450958,4940220,451011,4940189,77.1,0.796
2015-13,Antelope Creek to Elk Lake Road,2015,No ,NA,16055,451011,4940189,451189,4940017,431.9,0.796
2016-1,Downstream of Battle Creek,2016,No ,NA,528,444887,4940100,445951,4940948,431.9,0.796
2016-2,Elk Lake Road to Battle Creek,2016,No ,NA,5470,446791,4940826,446827,4940736,291.3,0.796
