creek,reach,site,riffle,date,site_lngth,riffle_lngth,bf_width,ParticleSize_2_Total,ParticleSize_2_8_Total,ParticleSize_4_Total,ParticleSize_5_6_Total,ParticleSize_8_Total,ParticleSize_11_Total,ParticleSize_16_Total,ParticleSize_22_6_Total,ParticleSize_32_Total,ParticleSize_45_Total,ParticleSize_64_Total,ParticleSize_90_Total,ParticleSize_128_Total,ParticleSize_180_Total,ParticleSize_181_Total
Red Rock Creek,Elk Lake Road to Battle Creek,1,1,7/22/2019 0:00:00,224.00,20.80,9.95,46,1,4,1,9,10,20,13,4,1,1,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,1,7/31/2017 0:00:00,282.00,22.00,8.27,23,1,1,7,7,12,26,27,6,2,2,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,1,7/20/2015 0:00:00,183.76,60.00,7.75,31,1,4,2,8,7,21,15,6,3,0,1,1,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,2,7/22/2019 0:00:00,224.00,30.00,10.60,16,2,0,5,15,16,21,17,7,1,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,2,7/20/2015 0:00:00,183.76,8.20,6.50,62,1,3,5,2,6,3,2,3,1,2,6,3,1,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,2,7/31/2017 0:00:00,282.00,25.70,11.00,39,2,5,8,14,16,13,3,0,0,1,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,3,7/31/2017 0:00:00,282.00,10.76,8.20,48,5,3,3,3,13,14,11,1,1,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,3,7/22/2019 0:00:00,224.00,18.70,9.10,21,2,3,7,12,15,18,15,7,1,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,3,7/20/2015 0:00:00,183.76,32.00,9.26,28,4,9,8,15,21,11,4,0,0,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,4,7/22/2019 0:00:00,224.00,48.60,11.45,24,5,5,18,16,13,12,7,0,0,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,4,7/31/2017 0:00:00,282.00,17.75,8.87,20,8,4,8,24,20,10,9,1,0,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,4,7/20/2015 0:00:00,183.76,17.10,7.15,21,11,6,15,15,15,15,3,1,0,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,1,7/23/2019 0:00:00,152.00,7.70,4.05,65,6,5,2,4,6,4,5,2,1,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,1,7/20/2015 0:00:00,64.00,64.00,3.20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,1,8/1/2017 0:00:00,152.00,16.00,4.00,94,0,0,0,6,0,0,0,0,0,0,0,0,0,0
